Fon_Sentence,French_Translation
mawù ɖó gbɛtɔ́ b'ɛ́ cí é ɖésú ɖɔ́hùn,dieu a créé l'homme à son image
nú a jló ná bló xɔ ɔ́ a ɖo ná mɛ̀ dŏ bó ná tlɛ́ dò ɔ́ bó ná xɔ̀ gàn lɛ́ bó ná dó gbà ná,si tu veux construire une maison il te faut élever les murs les crépir acheter les tôles pour la couvrir
é nɔ sín tɔ̀ bó nɔ́ kùn,on amorce le puits en creusant à l'intérieur
kɛkɛ́ cé tɔ́n,mon vélo est crevé
é ɖò axó dó wɛ̀,il crie
é sún xó dó ta nú mì,il a crié sur moi
xɛvi lɛ ɖe ye mɔ hun ɔ ɖo awɛwɛ sin awa ji ɔ ye su xo,les oiseaux en voyant cette tache de sang sur les ailes du papillon crièrent
awɔntin xixa,un nez crochu
e sìxú ɖì ă,on ne peut pas croire
mi bo ɖì nù nú nyɛ lɔ mɔ̆,croyez aussi en moi
un ɖi ɖɔ̀ é ná wá,je croyais qu'il viendrait
mì kpé mìɖéé ɖ'ali jí,nous nous sommes croisés sur le chemin
ma t'aɖŭ atínkɛ́n ɔ́ jí ó,ne croque pas ce comprimé
akpa flé hăn,la croûte de la plaie est partie
nyɔnú ɔ́ jó tɔyizɛ́n tɔ́n dó,la femme alors laissa sa cruche
bo nɔ wa danu xa vi lɛ donk e nyi nuɖe,et ils sont cruels avec les enfants donc c'est quelque chose
glesi ɔ nɔ kɛn atinsinsɛn,le paysan cueille des fruits
un ɖo folo ba wɛ,je cueille des fleurs
anyù ɖésú wɛ̀,c'est du cuir véritable
e bi,c'est cuit
é sɔ́ lan ɔ ɖá ɖú,il a pris la viande l'a fait cuire et l'a mangée
nusunnu ɔ bi,la sauce est cuite
e nylá nŭ ɖà,elle ne cuisine pas bien
nuɖatɔ ɖagbe,un bon cuisinier
nyɔnu ma wa nuɖe a ɔ asakpaɖa tɔn nɔ xo gan a,quand une femme n'a rien fait de mal ses cuisses ne battent pas la chamade
glesi wɛ n'i,c'est un cultivateur
ye nɔ lɛ gle a,ils ne cultivent pas la terre
un ɖi ɖɔ nawe ɔ ɖɔ finɛ jɛ nukɔn n'ɛ,je crois que la dame était avant lui
é ɖò kúlí jí,il est en danger de mort
awɔ̀vinɔ́ wɛ́ n'í,il est dangereux
ahwannɛ lɛ nɔ blo adɔ yetɔn ɖo do so e mɛ,les pigeons se nichent dans les trous des murs
amisa ɖo kpo toxo towe mɛ,il y a une église dans ta ville
azɔmɛvi lɛ ɖo azɔxɔmɛ,dans la salle de classe il y a des élèves
é dó alɔ̀ nùsúnnú zɛ́n mɛ̀,il a mis la main dans la marmite de sauce
jinukún kó myá gò ɖò gle mɛ̀,le grain est déjà mûr dans le champ
yĕ ɖò zìngídí jí guwùn,ils sont dans un très grand bruit
e ɖú wè,elle a dansé
nu mi ɖo akwɛ ɔ mi na yi ɖu we,si nous avons de l'argent nous irons danser
blò d'é jí,fais davantage
akpa e ɖ'awa nú mí ɔ́ flé ză,la peau sèche se détache de la plaie de mon bras
é já sín kútɔ́nú,il arrive de cotonou
un go sín glexwé,je suis de ouidah
un wá yì zanjɛ́nnádó,j'arrive de zagnanado
đè nù é ɖò távo ɔ jí ɔ́ sín,débarrasse la table
mì ná ɖ'axì,nous allons débattre le prix
é tún flá,ça a débordé
tɔ ɔ tún flá bó gbá kpé fí bĭ,la rivière a débordé et a tout inondé
é lí dŏ,il tient debout
mi ma nɔ te o,ne restez pas debout
sún lɛtlíki kan ɔ sín ì,débranche l'électricité
un xò adlɔ̆,j'ai débroussé une grandes brousse
nu a na wa jɛ nukɔn ɔ e wa gbɔn gudo a ɖe nɛ,tu fais à la fin ce que tu devrais faire au début
e lɛ́ kɔ̀,il est décédé pour annoncer la mort d'un enfant
un jlo na yí xò kpaca ɖò asi ce tɔ́ sín cyɔ́nú,je veux aller jouer le kpacà genre de rythme funèbre pour le décès de mon beau père
é ɖó làn tó kɔ̀ ă,il est décharné
avɔ ce vún,mon pagne est déchiré
awu ce vŭn,mon habit est déchiré
vi ɔ vun awu tɔn lɛ nɔ tɔn wamamɔnɔ ɔ ɖo ye tɔ wɛ,l'enfant déchire ses vêtements la pauvre maman les raccommode
é ɖè éɖéé gbà,il a décidé de se faire connaître
fɔnlinnɔ ɔ na gbeta ɖɔ emi na w'azɔ ɖe wu mi kpe ɔ,le paresseux se décide à mieux travailler
gbeta gbɛ ɔ bi tɔn ee ɖɔ xó dó acɛ e gbɛtɔ ɖó kpodo sisi e ɖo na ɖó n'i lɛ kpo wu e,déclaration universelle des droits de l´homme
é fɛ́ gă dó mì,il a déclenché la flèche contre moi
mɔ tɔn fɛ́,son piège s'est déclenché
awagan na acɛ awa nyitɔ,l'officier décore le soldat
a na já lan ɔ́ bĭ,tu découperas la viande en petits morceaux
a ná kpɔ́n dó mɔ̀ wú bó jó nŭ bì dó,tu vas te décourager et tout abandonner
é kú awa kan mɛ nú mì,il m'a découragé
e ɖè avɔ sín wŭ ɖ'amlɔ mɛ̀,il s'est découvert en dormant
ma dó vɛ̀ nú mɛɖe ó,ne dédaigne personne
dŏ jɛ̀ kpɛɖé mɛ̀ é ná ɖó víví,mets un peu de sel dedans ça l'améliorera
akwɛ́ nú wɛ́ tá mì,c'est l'argent qui me fait défaut
wèmá élɔ́ hú dó mí ɖaxó,ce livre me fait beaucoup défaut
é jɛ ahwan jí cè,il m'a défendu
nɔ ce ka gbɛ nu mi,malgré la défense de ma mère
e fó hɔn ɔ́,il a défoncé la porte
amaga ɔ ɖo wan ɖagbe ɖe wɛ,la mangue dégage une bonne odeur
mi ɖeɖɛ̀ miɖéé sín fí,dégagez d'ici
nú yɛ́ lín káká ɔ́ é ná wá nyí hùn,si cela continue ça finira par dégénérer en bagarre
jɔhɔn ɖò kɛkɛ́ cé mɛ̀ ă,mon vélo est dégonflé
é ci mì,il me dégoûte
e ɖò kɔ́xo jí,il est dehors
a ko kplɔ́n ɛ̀ ɖ'alɔ tɔn jí,tu as déjà fait son éducation
amɔ e ko tuwun xo ɖɔ ganji,mais il sait déjà très bien parler
un ɖi ɖɔ̀ é kó tɔ́n,d'après moi il est déjà parti
un ko ɖɔ nú mi ɖɔ̀ nyɛ wɛ̀,je vous l'ai déjà dit
un ɖo zanzan nuɖuɖu ɖu wɛ,je prends mon petit déjeûner
un dŏ wɔ̆ sìn,j'ai délayé de la farine dans l'eau pour préparer la pâte
nùsúnnú ɔ́ nɔ́ hwɛ́n wàn lyólyó,la sauce a une délicate odeur
nu vivi wɛ jɛ nyi nu ye,le sel fait leurs délices
miam e ɖi nu vivi,miam ça a l'air délicieux
mì ná tùn kpátín bó ná dó gbò ayìkúngban mĭtɔ̀n,nous allons planter des piquets pour délimiter notre terrain
é jɛ sɔ̀,a demain
é sù ayì hɔ́n,a demain
jì ná ja sɔ̀,il pleuvra demain
nɔ ce ɖɔ emi na wa sɔ,ma mère m'a dit qu'elle viendra demain
sɔ lɔ mawu sin alɔ mɛ,demain est dans la main de dieu
sɔ̀ zănzăn,demain matin
un sixu mɔ ɛ sɔ ă,je ne peux le voir demain
amlɔgɔ ɖò sinsin i wɛ̀ bɔ̀ un ɖɔ n'í ɖɔ,xɔ́tlú é nyí ájí
é kán byɔ́ mí ɖɔ̀ émí ná wá ájí,il m'a demandé s'il viendra
un ɖo kikan byɔ nyɛ ɖe wɛ nuɖe na ɖɔ ɔ,je me demande ce que je vais dire
nyɔkpotín cé nɔ́ híhí,j'ai des démangeaisons à la gencive
e nɔ́ híhí mì,ça me démange
hùn ɔ̀ sún,la voiture a démarré
macínú ɔ́ gbɛ́ zò,le moteur ne démarre pas
e vún ɖa n'í,elle lui a démêlé les cheveux
e xo kan cè,il s'est démené pour moi
e wá bà jonɔ mĭ bó ɖò kpɔ́ xá mĭ,il vient nous visiter et demeurer avec nous
atín ɔ́ sín akpá ɖokpó kú,l'arbre est à demi mort
gan ɖokpó adaɖé mɛ̀,a une heure et demie
mi ɖo hɔn ɔ gba wɛ,vous démolissez la porte
awòví dó mì,le démon m'a tenté
un na ɖé wé gbà,je vais te dénoncer
é wɔ̀ măgà ɖù vowùn,il a mangé la mangue à belles dents
un tuun nuɖe zɔn yiyi tɔn a,j'ignore la cause de son départ
é dín hwɛgbó wú,il a dépassé houègbo
e gló mì,ca me dépasse
nyavi nɛ́ fɔn ta te mĭ bĭ,ce garçon nous a tous dépassés
un ɖò mɛ'sí,je me trouve sous la dépendance de quelqu'un
kú d'akwέ,salut pour la dépense argent dépensé
e zán nù tɔ́n lɛ́ d'ákpa mɛ̀,il dépensa tout ce qu'il avait en prodigue
e nɔ́ sɛ tɛ̀n ă,il ne se déplace pas
e nyɔ́ nukún tɔ́n mɛ̀ ă,cela lui déplaît
e ze wema ɖo tavo ji,elle a déposé le livre sur la table
wà zlɔ́n mì,viens m'aider à déposer mon fardeau
azàn tɔ́n kó yi ɛnɛ̀,il y était depuis quatre jours déjà
nyɛ ɔ un ɖo azɔ wa wɛ sin tɛgbɛ bo un ma te ko fo,moi je travaille depuis des heures et je n'ai pas encore fini
un ma sɔ́ mɔ wè ă xwè lĭvì ɖíè,je ne t'ai plus vu depuis de nombreuses années
jijɔhon ɔ hɔn ɖɔ nu atin ɔ,la tempête déracine l'arbre
tamɛ tɔn kpé ă,il est un peu dérangé
e d'ɛ̀ gbɔ̀n tó,on l'a marié en dernier
gbɛ vuvɔ zán gbè,le dernier jour du monde
kplókpló,première et dernière fois
vodúngbe é kó wá yí ɔ́,dimanche dernier
xwè ɖè é wá yí ɔ́ mɛ̀,l'année dernière
azàn vì élɔ́ lɛ́ mɛ̀,dernièrement
e ɖo gudo,il est derrière
e slɛ́ vì lɛ́,il a mis les enfants les uns derrière les autres
mi hwla ɖo atin lɛ gudo,vous étiez cachés derrière le buisson
a na xɔ azin,tu achèteras des oeufs
kùn,onomatopée marquant la désapprobation
ablahámu kpódó aɖimɛví tɔ́n kpán wɛ̀ măwù d'ákpá ná,c'est à abraham et à sa descendance que dieu a fait des promesses
tomɛnyitɔ lɛ jɛ te sin hun ɔ mɛ,les voyageurs sont descendus de l'autocar
vì nɛ́ kú din ɔ́ tɔ́ tɔ́n flú,ce fils étant mort son père est désemparé
afɔ towe gbígbá,ton pied a désenflé
ta tɔn flí,il est déséquilibré
é sɔ́ mí xo kɔ̀,il m'a déshonoré
gbɛtɔ́ nɔ́ jló ná nɔ̀ gbɛ̀ sɔ́ yì,l'homme a le désir de vivre
ali nɔ yì tó tówe mɛ̀ ă,tu es désobéissant
e vɛ nu mi un sixu blo a,désolée je ne peux pas le faire
xɛ ɔ́ xò awà vazavaza bo kú,l'oiseau a battu des ailes de façon désordonnée et est mort
e hánnyá xó,il dit et se dédit en désordre
mi ma dó hunnyahunnya miɖéé mɛ́ ó,ne mettez pas le désordre entre vous
wèmá cé lɛ́ gúdá,mes papiers sont en désordre
sín égbé ɔ́ ma sɔ́ t'afɔ̀ ɖĕ xwé tɔ́n gbé ó,désormais tu ne mettras plus les pieds chez lui
lan ɔ xwí sin bo cí tákwétákwé,la viande a perdu son jus et est toute desséchée
azɔmɛvi lɛ na ɖe ayihunmlimli ɖokpo,les élèves vont dessiner un ballon
é sɔ́ kwékwé wè dó ná xú ná mì,elle m'a donné deux bananes par dessus le marché
mi nà sɔ́ kpe mimɛ ɔ d'é jí,nous mettrons la dalle dessus
sɛ́ wɛ́ ná,c'est le destin qui l'a donné
dè ɔ́ ɖì sún,les noix de palme sont bien détachables
e flɛ́ wá dɔ́,il fruit s'est détaché et a été retenu par les branches
avɔ ɔ jó,le pagne a déteint
cɛ́ni ce bɔ̀,ma chaîne de vélo est détendue
kan ɔ gbɔ́jɔ́,la corde s'est détendue
e hɔ̀n ajagún,il a déterré du manioc
e ɖè kɔ̀ d'é,il s'est détourné de lui
é wlŏ akwɛ́ ɖù,il a détourné de l'argent
e na hɛn vi gege sin gbɛ gble,ca va détruire la vie de beaucoup d'enfants
un nɔ vɔ̀ yĕ,je les détruis
un sú axɔ́ cé kpò,j'ai payé une partie de ma dette
un ɖò tɔ́ cé lútú mɛ̀,je suis en deuil de mon père
e dá kpɛn ɔ́,il a coupé la papaye en deux
hwenuxó cé zɔn mɔ víín bó yí jɛ̀ hòxó wè ɖè lɛ̀ jí,il était une fois deux jumeaux formule courante au début des contes
un yi wan nu ye mɛ wɛ le bi,je les aime tous les deux
sukpɔ wegɔ ɔ,la deuxième mouche
e kó wà jɛ̀ nukɔn nú mì,il m'a devancé
é cí te ɖò nukɔn cè klalà,il s'est campé devant moi sans bouger
vì ɔ́ kó ɖì ă,l'enfant n'est pas suffisamment développé
e dó ahŏ dò,le ciel devient très noir avant l'orage
e má dó mì,cela m'est devenu familier
gbo aze,devenir sorcier
yi kan kpɔn ɖo bokɔnɔ xwe,va consulter le devin
un sìxú tún bulɔ́n élɔ́ ă,je n'arrive pas à dévisser ce boulon
e gbà kpá tɔ́n nú mì,il m'a dévoilé son secret
a ɖo na ɖo to radio gbadanu,tu devrais écouter la radio ce soir
a ɖo na kplɔn hweɖe do mɔ,tu devras t'y habituer
azɔ ɔ ɖo na nyi fifo cobɔ xwe o na fo,le travail doit être fini avant la fin de l'année
e nɔ wlan nu ganji do wema tɔn lɛ mɛ,il écrit bien ses devoirs dans son cahier
mɛ bi ɖo na ɖɔ glɛsingbe ɖo hwe mitɔn nu din,tout le monde devrait parler l'anglais de nos jours
hlá ná wlí mi ɖù,l'hyène va me dévorer
mi kú dó mɛkanxuxo,merci pour votre dévouement
awòví tɛ́n mí kpɔ́n,le diable m'a tenté
e ɖò xomɛ slá wɛ̀,il a la diarrhée
măwŭ bló,dieu merci
e ɖɔ̀ hwɛ gbo nú yĕ,il a tranché leur différend
fí ɖĕvo lálá wɛ̀ un yì un yì fí à a vɛ dó é ă,c'est dans un pays tout à fait différent que je suis allé je ne suis pas allé là où tu pensais
xwe ko ɖie e gbɔn vo,il y a vingt ans c'était différent
azɔ̀ élɔ́ ɔ́ é xú dín,ce travail est très difficile
e kpɛ̀n,c'est difficile
e vɛ wu,c'est difficile
nukplɔnkplɔn yetɔn vɛ wu,leurs leçons sont difficiles
xogbe enɛ ɔ lɛ nɔ vɛwu ɖiɖɔ,ce mot se prononce difficilement
é vlɛ́ wɔ̆n,il est difforme
vodungbe wɛ,c'est dimanche
mì ná ɖù gbada nú,nous allons dîner
a ɖɔ,tu dis
bo ɖɔ nu ye ɖɔ,et leur dit
e wá bɔ un ɖɔ̀,il est venu et j'ai dit
un ɖɔ gbè bo wa gbè,ce que j'ai dit je l'ai fait
un sè xó a ɖɔ lɛ́,j'ai entendu les paroles que tu as dites
e jlɔ́,c'est direct
un nyi gan,je suis directeur
e kpan ta gɔ̆n tɔ̀n,il se dirigea vers lui
ee ahwanvú we lɛ́ sè xó nɛ́ ɔ́,les deux disciples entendirent ces paroles
sè wù xwé nú xó tówè,abrège ton discours
yĕ ɖò nù dɔ́n wɛ̀,ils discutent
e kɛ̀n,ca a disparu
xwédó élɔ́ bì wɛ́ kó gbà,cette famille est déjà toute disparue
un na yi dotoxwe,je vais au dispensaire
yi dotoxwe,va au dispensaire
axi ɔ́ kɛ̀n,le marché s'est dispersé
yè kíjá,ils se sont dispersés
lanmɛ ce ɖ'é jí ganjí ă,je ne suis pas bien dispos
wù yɛ̀yɛ́ afɔ yɛyɛ́,frais et dispos
e ɖɔ jlɛ dó jĭ cè,il m'a disputé
un si hɛn disque ɖokpo wa nu we nu a se tonu ɔ,il se peut que je te rapporte un disque si tu es gentil
é nɔ́ sɛ ya mɛ ă,il est distant
e nɔ́ flín nŭ ă,il est distrait
năna xɔ̀ avɔ̀ asansán ɖokpó,maman a acheté un tissu fait de pièces diverses
é mă yĕ ɖò donu ayizɛ́n,il les divisa en six groupes
un gbɛ asi,je suis divorcé
alɔvi wo,dix doigts
agbaza mɛ tɔ́n cí kpɔ́nnɔ́kpɔ́nnɔ́,son corps est dodu
e ɖù ɖò jĭ cè,il m'a dominé
dɔ́ gbɛ lóo,bonne nuit donc
e xɔ nu ɖo aximɛ hun e ɖo akwɛ,il a acheté au marché donc il a de l'argent
hun  wɛ,c'est donc
vɛ̀ kpɔ́n,regarde donc
atin ɔ́ wú jù,l'arbre a donné des champignons jù
é ɖò anɔ ná vì tɔ́n wɛ̀,elle donne le sein à son enfant
e nyɔ́ bo sɔ́ wá,c'est bien donne
fa akɔ ni lɔgbon,fa dieu qui donne l'intelligence
mawu n'ɛ ganjininɔ,dieu lui donne la santé
ze nyibunɔsin nyibu towe tɔn,prends le lait que la vache t'a donné
wɔxuxu ɔ ci sika ɖɔhun,le pain est doré
ali xɔ́,le roi dort
e ɖ'amlɔ dɔ́ wɛ̀,il dort
sunnuvi ɔ ɖ'amlɔ dɔ wɛ,le garçon dort
é flí jɛ wɛ̀n,il s'est renversé sur le dos
mi ma wɔn bo hɛn nuɖuɖu do saki mitɔn mɛ o,n'oubliez pas d'emporter de la nourriture dans votre sac à dos
mi ɖo na gbɔn denu,vous devez passer par la douane
é ɖò nù ɔ̀ bló wɛ́ xlíxlí,il fait la chose en douce
é ɖò nù ɖɔ́ wɛ́ klɛ́wún klɛ́wún,il parle doucement
vɛ̆ wa kò ɖò fínɛ́,fais doucement là
e jɛ̀ flú mɛ̀,elle est dans les douleurs de l'accouchement
yágáyì,exclamation marquant une vive douleur
yĭgíì,exclamation indiquant une douleur très vive
e kpácá mì,j'en doute
é xo kɔ n'í,elle lui a fait les yeux doux en dodelinant de la tête
un ɖa ɖo myɔ yeɖe ji,je cuis sur feu doux
nyɔnu lɛ ɖo xwe wewe kpodo xwe tɛnwe kpo,les filles ont douze ans et sept ans
e dé wè,il t'a dressé à faire comme lui
a na gbɔ̀n ali e ɖò ɖisí xwé ɔ́,tu prendras le chemin de droite
ayi jlojlinɔ́ lé,les hommes au coeur droit
azɔ e mɛɖe wa é sin akwɛ wɛ na ɖu,tous ont droit sans aucune discrimination à un salaire égal pour un travail égal
é zɔ́n gúwún bó wá,il est venu tout droit
gbɛtɔ bi ɖo acɛ bo na lɛn nu nu é jlo e kpɔ́n bo d'ayimɛ lobo lɛ sɛ̀n nu e jlo e,toute personne a droit à la liberté de pensée de conscience et de religion
mi jló ali swɛ́n tɔ́n mɛ́,rendez droits ses chemins
ayibaɖabaɖanɔ wɛ nú wè,tu as une drôle d'idée
amɔ a ɖo kafe nu wɛ,mais tu bois du café
azɔ̀ ɔ̀ myá nukún nú wè,tu travailles dur
e vɛ,c'est dur
làn ɔ́ dɛ̀,la viande est dure élastique
wɔ̀ ɔ́ syɛ́n dín bó ɖo jangiìn,la pâte est très dure
mà ɔ̀ dó kpasó,le légume a durci
e lin,cela a duré
un ɖo sin nu wɛ,je bois de l'eau
é nɔ́ gbɔ̀n zɔzɔ̀,il se tient à l'écart
avɔ towe dɔn dó akwɛ́ ɔ́ wú,ton pagne est gardé en échange de la dette
un na ɖyɔ́ nù élɔ́ xá wè,je vais échanger cela avec toi
e ɖò zìngbídí ɖú wɛ̀ bó ná gló yĕ,il se débattait pour leur échapper
xó ɔ́ sí dó mì,la parole m'a échappé
amɔ un ɖi ɖɔ ted kpodo kelly kpo na j'ayi,mais je crois que ted et kelly vont échouer
jĭ jɛ̀ wun kɛ jí,il commence à faire des éclairs
hwè klé,le ciel s'éclaircit après la pluie
zogbɛ́n ɔ́ ɖì,la lampe éclaire bien
awu tɔn wé pépépé,sa chemise est d'une blancheur éclatante
lobɔ̀ yĕ j'àvì yá jí,et ensuite ils éclatèrent en sanglots
hwè wlí sùn,il y a éclipse de lune
ɖo azɔmɛ ɔ,a l'école
e kpà atín fló,il a enlevé l'écorce de l'arbre
e gíngín akpà,il s'est écorché en frottant
e zínzín akpa nú mì,il m'a écorché la plaie
azɔmɛvi lɛ ɖo mɛsi ye tɔn kpɔn wɛ bo ɖo to ɖo e wɛ,les élèves regardent leur maître et l'écoutent
gbɔ temi,ecoute ce que je dis yoruba
tó ce ɖo jɛ̀,je suis à l'écoute
agban nɔ hɛn agbaza tɔn gba,la charge écrase son corps
e fɔ́tɔ́ azìn,il a écrasé un oeuf
e vótó,il s'est écrasé
e jɛ̀ xó sú jí bó ɖɔ̀,il s'écria
é wlán wèmá sɛ́ dó è,il lui a écrit une lettre
kpɔ́n nŭ e wlàn dó aklúnɔ́ ɔ́ wú ɔ́,regarde l'écriteau qui est sur la croix
e kplɔ́n ɛ̀ ganjí,il l'a bien éduqué
un na gbídí nyikɔ́ tówé sín wèmá mɛ̀,j'effacerai ton nom du cahier
petlu ko byɔ́ toxo ɔ́ mɛ̀ ă,pierre en effet n'était pas encore entré dans le village
nu tɔn xwíɖí,il est effilé
e dó xɛsi nú mì,il m'a effrayé
nù nɛ́ ɔ́ jí wù dó mì,cela m'a effrayé
xó ɔ́ ɖó adohu jí,cette parole cause l'effroi
un sɔ wè,je suis ton égal
yĕ ɖo zɛɛ́n,ils sont à égalité
e flú,il s'est égaré
amisa ɖagbe,une belle église
yɛhwexó ná yí ta,la construction de l'église sera menée à bonne fin
nù kán mì,je me suis égratigné
dawe gɛgɛ ɖé wá ba we kpò,un homme élancé est venu te voir et ne t'a pas trouvé
e hɛ̀n dò ɔ̀ gbló,il a élargi le trou
lɛtliki wli mi,je suis électrocuté
azɔmɛvi ɖagbe wɛ nyi michel,michel est un bon élève
nyi gbɔ,elever des caprins
yé ɖo gán yɔyɔ ná ɖó wɛ,ils sont sur le point d'élire un nouveau chef
un ɖò gbe towe xo wɛ̀,je suis en train de faire ton éloge
é yi zɔ̀ cáɖá,il est allé dans un lieu très éloigné
un nyɔ́ xó ɖɔ̀ ă,je ne suis pas éloquent
mì nà sɔ́ agban lɛ́ dó hŭn mɛ̀,nous allons embarquer les bagages dans la voiture
kɛkɛvi ɔ byɔ bɔ mɛ ɖo ali nyanya ɔ ji,le chariot est embourbé dans le mauvais chemin
e ma nyɔ́ si kí nú mɛ ă,il ne sait pas embrasser
é hízí dó yĕ,ils se sont embrouillés
un sɔ́ mɔ̀ dò nú azɔ̀ ɔ́ ă,je me suis embrouillé dans le travail
nù é ɖɔ́ vì ɔ́ wú wɛ̀ é ɖè ɔ́ kɔ́n nɔ́ jí wù dó tɔ́ ɔ́ kpódó nɔ̀ ɔ́ kpán,son père et sa mère étaient dans l'émerveillement de ce qui se disait de lui
to xò zĭn,le pays fut en émoi
e yi lanmɛ nú mì,je suis ému
é wá klá jɛ̀ tò lɛ́ bì nú,il en vint à s'emparer de tous les pays
e ján mì,j'ai eu un empêchement
e nɔ glɔ́n jĭ,on empêche la pluie de tomber à un endroit
é lùn wăn vaàn,ça empeste très loin
é ɖò maléfú bló wɛ̀,il est employé comme manoeuvre
e j'adàn dó ta nú mì,il s'est emporté contre moi
sɔ́ nù élɔ́ hɛn yì xwé,emporte cela chez toi
tɔ ɔ kplɔ́ ɛ́ yì,la rivière l'a emporté
zo wlá xɔ ɔ́ bĭ,le feu a emporté toute la case
yè dó e gàn,on l'a emprisonné
e nyà gbadé kpɛɖé ɖ'así cè,elle m'a emprunté un peu de maïs
a na vlɔ́ kpɛn ɔ ɖó ɛnɛ́,tu diviseras la papaye en quatre parties
amɔ nu mi ma ɖo awu zozo hun e ɖo na nyi xixɔ,mais si vous n'avez pas de vêtements chauds il faudra en acheter
é ɖ'así cè ă,je n'en ai pas
é sù kpɔ́ ă,il n'y en pas beaucoup
un ma ɖó nɛ́,je n'en ai pas
xomɛ tɔn flí,il est très en colère
e ɖó adɔgò,elle est enceinte
nyɔ̀nú élɔ́ mɔ xò bɔ̀ adɔgo tɔn cí sɛgɛɛ̀,cette femme est enceinte et son ventre est gros et allongé
xo wɛ é ɖè,elle est enceinte
kɛntɔ́ mìtɔ́n lɛ́ xá mĭ,les ennemis nous encerclent
